sample_index,timestamp,elapsed_seconds,image_file,steering_normalized,steering_angle_est_deg,steering_gain,throttle_normalized,throttle_gain
0,2026-08-24T05:06:04.303,0.010,images/frame_000000.jpg,0.000000,0.000,-1.000,0.000000,0.600
1,2026-08-24T05:06:05.294,1.000,images/frame_000001.jpg,0.000000,0.000,-1.000,0.000000,0.600
2,2026-08-24T05:06:06.294,2.000,images/frame_000002.jpg,0.000000,0.000,-1.000,0.819608,0.600
3,2026-08-24T05:06:07.295,3.001,images/frame_000003.jpg,0.000000,0.000,-1.000,1.000000,0.600
4,2026-08-24T05:06:08.294,4.000,images/frame_000004.jpg,0.000000,0.000,-1.000,1.000000,0.600
5,2026-08-24T05:06:09.294,5.000,images/frame_000005.jpg,0.000000,0.000,-1.000,1.000000,0.600
6,2026-08-24T05:06:10.294,6.000,images/frame_000006.jpg,-1.000000,-30.000,-1.000,1.000000,0.600
7,2026-08-24T05:06:11.294,7.000,images/frame_000007.jpg,0.000000,0.000,-1.000,1.000000,0.600
8,2026-08-24T05:06:12.294,8.000,images/frame_000008.jpg,-1.000000,-30.000,-1.000,1.000000,0.600
9,2026-08-24T05:06:13.294,9.000,images/frame_000009.jpg,0.000000,0.000,-1.000,1.000000,0.600
10,2026-08-24T05:06:14.294,10.000,images/frame_000010.jpg,-0.607843,-18.235,-1.000,1.000000,0.600
11,2026-08-24T05:06:15.294,11.000,images/frame_000011.jpg,0.000000,0.000,-1.000,1.000000,0.600
12,2026-08-24T05:06:16.294,12.000,images/frame_000012.jpg,-1.000000,-30.000,-1.000,1.000000,0.600
13,2026-08-24T05:06:17.294,13.000,images/frame_000013.jpg,0.000000,0.000,-1.000,1.000000,0.600
14,2026-08-24T05:06:18.294,14.000,images/frame_000014.jpg,0.000000,0.000,-1.000,1.000000,0.600
15,2026-08-24T05:06:19.294,15.000,images/frame_000015.jpg,0.000000,0.000,-1.000,1.000000,0.600
16,2026-08-24T05:06:20.294,16.001,images/frame_000016.jpg,0.000000,0.000,-1.000,1.000000,0.600
17,2026-08-24T05:06:21.294,17.000,images/frame_000017.jpg,0.000000,0.000,-1.000,1.000000,0.600
18,2026-08-24T05:06:22.295,18.001,images/frame_000018.jpg,-0.670588,-20.118,-1.000,1.000000,0.600
19,2026-08-24T05:06:23.294,19.000,images/frame_000019.jpg,0.000000,0.000,-1.000,1.000000,0.600
20,2026-08-24T05:06:24.295,20.001,images/frame_000020.jpg,-1.000000,-30.000,-1.000,1.000000,0.600
21,2026-08-24T05:06:25.294,21.001,images/frame_000021.jpg,-0.764706,-22.941,-1.000,1.000000,0.600
22,2026-08-24T05:06:26.294,22.000,images/frame_000022.jpg,0.000000,0.000,-1.000,1.000000,0.600
23,2026-08-24T05:06:27.294,23.001,images/frame_000023.jpg,0.000000,0.000,-1.000,1.000000,0.600
24,2026-08-24T05:06:28.294,24.000,images/frame_000024.jpg,-1.000000,-30.000,-1.000,1.000000,0.600
25,2026-08-24T05:06:29.294,25.000,images/frame_000025.jpg,0.000000,0.000,-1.000,1.000000,0.600
26,2026-08-24T05:06:30.294,26.000,images/frame_000026.jpg,0.000000,0.000,-1.000,1.000000,0.600
27,2026-08-24T05:06:31.294,27.000,images/frame_000027.jpg,0.000000,0.000,-1.000,1.000000,0.600
28,2026-08-24T05:06:32.294,28.000,images/frame_000028.jpg,0.000000,0.000,-1.000,1.000000,0.600
29,2026-08-24T05:06:33.294,29.000,images/frame_000029.jpg,0.000000,0.000,-1.000,1.000000,0.600
30,2026-08-24T05:06:34.294,30.000,images/frame_000030.jpg,0.000000,0.000,-1.000,1.000000,0.600
31,2026-08-24T05:06:35.294,31.000,images/frame_000031.jpg,-0.129412,-3.882,-1.000,1.000000,0.600
32,2026-08-24T05:06:36.294,32.001,images/frame_000032.jpg,-1.000000,-30.000,-1.000,1.000000,0.600
33,2026-08-24T05:06:37.294,33.000,images/frame_000033.jpg,-0.945098,-28.353,-1.000,1.000000,0.600
34,2026-08-24T05:06:38.294,34.001,images/frame_000034.jpg,0.000000,0.000,-1.000,1.000000,0.600
35,2026-08-24T05:06:39.295,35.001,images/frame_000035.jpg,0.000000,0.000,-1.000,1.000000,0.600
36,2026-08-24T05:06:40.294,36.000,images/frame_000036.jpg,0.000000,0.000,-1.000,1.000000,0.600
37,2026-08-24T05:06:41.294,37.000,images/frame_000037.jpg,0.000000,0.000,-1.000,1.000000,0.600
38,2026-08-24T05:06:42.295,38.001,images/frame_000038.jpg,0.000000,0.000,-1.000,1.000000,0.600
39,2026-08-24T05:06:43.295,39.001,images/frame_000039.jpg,0.000000,0.000,-1.000,1.000000,0.600
40,2026-08-24T05:06:44.294,40.001,images/frame_000040.jpg,1.000000,30.000,-1.000,1.000000,0.600
41,2026-08-24T05:06:45.294,41.000,images/frame_000041.jpg,0.000000,0.000,-1.000,1.000000,0.600
42,2026-08-24T05:06:46.294,42.000,images/frame_000042.jpg,0.000000,0.000,-1.000,1.000000,0.600
43,2026-08-24T05:06:47.294,43.000,images/frame_000043.jpg,0.000000,0.000,-1.000,1.000000,0.600
44,2026-08-24T05:06:48.294,44.000,images/frame_000044.jpg,0.000000,0.000,-1.000,1.000000,0.600
45,2026-08-24T05:06:49.294,45.000,images/frame_000045.jpg,-1.000000,-30.000,-1.000,1.000000,0.600
46,2026-08-24T05:06:50.294,46.000,images/frame_000046.jpg,0.000000,0.000,-1.000,1.000000,0.600
47,2026-08-24T05:06:51.294,47.000,images/frame_000047.jpg,0.000000,0.000,-1.000,1.000000,0.600
48,2026-08-24T05:06:52.294,48.000,images/frame_000048.jpg,0.000000,0.000,-1.000,1.000000,0.600
49,2026-08-24T05:06:53.294,49.000,images/frame_000049.jpg,-1.000000,-30.000,-1.000,1.000000,0.600
50,2026-08-24T05:06:54.294,50.000,images/frame_000050.jpg,0.000000,0.000,-1.000,1.000000,0.600
51,2026-08-24T05:06:55.294,51.000,images/frame_000051.jpg,0.000000,0.000,-1.000,0.000000,0.600
52,2026-08-24T05:06:56.294,52.001,images/frame_000052.jpg,0.000000,0.000,-1.000,0.000000,0.600
